"'Area: Nothing :('","0","filler","Area","Nothing :("
"'Area: Port Tyras'","1","progression","Area","8496"
"'Area: West Tyras Camp'","1","progression","Area","8497"
"'Area: West Iorwerth Camp'","1","progression","Area","8498"
"'Area: Prifddinas Shore'","1","progression","Area","8499"
"'Area: Prifddinas Harbour'","1","progression","Area","8500"
"'Area: Mynydd'","1","progression","Area","8501"
"'Area: Ocean Chunk (10S 10E)'","1","progression","Area","8502"
"'Area: Drumstick Isle'","1","progression","Area","8503"
"'Area: Ocean Chunk (10S 14E)'","1","progression","Area","8504"
"'Area: Ocean Chunk (10S 16E)'","1","progression","Area","8505"
"'Area: Ocean Chunk (10S 18E)'","1","progression","Area","8506"
"'Area: Ocean Chunk (10S 20E)'","1","progression","Area","8507"
"'Area: Astral Altar'","1","progression","Area","8508"
"'Area: Lunar Mine Entrance'","1","progression","Area","8509"
"'Area: Ocean Chunk (10S 26E)'","1","progression","Area","8510"
"'Area: Ocean Chunk (10S 28E)'","1","progression","Area","8511"
"'Area: Ocean Chunk (10S 30E)'","1","progression","Area","8512"
"'Area: Ocean Chunk (10S 32E)'","1","progression","Area","8513"
"'Area: Ocean Chunk (8S 34W)'","1","progression","Area","8736"
"'Area: Ocean Chunk (8S 32W)'","1","progression","Area","8737"
"'Area: Ocean Chunk (8S 30W)'","1","progression","Area","8738"
"'Area: Ocean Chunk (8S 28W)'","1","progression","Area","8739"
"'Area: Sunbleak Island'","1","progression","Area","8740"
"'Area: Ocean Chunk (8S 24W)'","1","progression","Area","8741"
"'Area: Ocean Chunk (8S 22W)'","1","progression","Area","8742"
"'Area: Ocean Chunk (8S 20W)'","1","progression","Area","8743"
"'Area: Ocean Chunk (8S 18W)'","1","progression","Area","8744"
"'Area: Ocean Chunk (8S 16W)'","1","progression","Area","8745"
"'Area: Ocean Chunk (8S 14W)'","1","progression","Area","8746"
"'Area: Soul Isle Mine'","1","progression","Area","8747"
"'Area: Soul Wars Lobby'","1","progression","Area","8748"
"'Area: Soul Obelisk'","1","progression","Area","8749"
"'Area: North Isle Hunter'","1","progression","Area","8750"
"'Area: Zul-Andra'","1","progression","Area","8751"
"'Area: West Poison Waste'","1","progression","Area","8752"
"'Area: Tyras Camp'","1","progression","Area","8753"
"'Area: Iorwerth Camp'","1","progression","Area","8754"
"'Area: Ithell & Iorwerth'","1","progression","Area","8755"
"'Area: Amlodd & Hefin'","1","progression","Area","8756"
"'Area: Gwenith'","1","progression","Area","8757"
"'Area: Ynysdail'","1","progression","Area","8758"
"'Area: Ocean Chunk (8S 12E)'","1","progression","Area","8759"
"'Area: Ocean Chunk (8S 14E)'","1","progression","Area","8760"
"'Area: Ocean Chunk (8S 16E)'","1","progression","Area","8761"
"'Area: Ocean Chunk (8S 18E)'","1","progression","Area","8762"
"'Area: Pirates\' Cove'","1","progression","Area","8763"
"'Area: Ocean Chunk (8S 22E)'","1","progression","Area","8764"
"'Area: Ocean Chunk (8S 24E)'","1","progression","Area","8765"
"'Area: Ocean Chunk (8S 26E)'","1","progression","Area","8766"
"'Area: Ocean Chunk (8S 28E)'","1","progression","Area","8767"
"'Area: Ocean Chunk (8S 30E)'","1","progression","Area","8768"
"'Area: Ocean Chunk (8S 32E)'","1","progression","Area","8769"
"'Area: Ocean Chunk (6S 34W)'","1","progression","Area","8992"
"'Area: Ocean Chunk (6S 32W)'","1","progression","Area","8993"
"'Area: Ocean Chunk (6S 30W)'","1","progression","Area","8994"
"'Area: Ocean Chunk (6S 28W)'","1","progression","Area","8995"
"'Area: Ocean Chunk (6S 26W)'","1","progression","Area","8996"
"'Area: Ocean Chunk (6S 24W)'","1","progression","Area","8997"
"'Area: Ocean Chunk (6S 22W)'","1","progression","Area","8998"
"'Area: Ocean Chunk (6S 20W)'","1","progression","Area","8999"
"'Area: Ocean Chunk (6S 18W)'","1","progression","Area","9000"
"'Area: Ocean Chunk (6S 16W)'","1","progression","Area","9001"
"'Area: Ocean Chunk (6S 14W)'","1","progression","Area","9002"
"'Area: Soul Isle Crabs'","1","progression","Area","9003"
"'Area: Soul Isle Beach'","1","progression","Area","9004"
"'Area: Red Base'","1","progression","Area","9005"
"'Area: Pyrefiend Pit'","1","progression","Area","9006"
"'Area: Zulrah\'s Shrine'","1","progression","Area","9007"
"'Area: East Poison Waste'","1","progression","Area","9008"
"'Area: South Isafdar'","1","progression","Area","9009"
"'Area: North Isafdar'","1","progression","Area","9010"
"'Area: Cadarn & Trahaearn'","1","progression","Area","9011"
"'Area: Crwys & Meilyr'","1","progression","Area","9012"
"'Area: Gorlah'","1","progression","Area","9013"
"'Area: West Eagles\' Peak'","1","progression","Area","9014"
"'Area: West Piscatoris'","1","progression","Area","9015"
"'Area: Kraken Cove Entrance'","1","progression","Area","9016"
"'Area: Ocean Chunk (6S 16E)'","1","progression","Area","9017"
"'Area: Ocean Chunk (6S 18E)'","1","progression","Area","9018"
"'Area: Ocean Chunk (6S 20E)'","1","progression","Area","9019"
"'Area: Ocean Chunk (6S 22E)'","1","progression","Area","9020"
"'Area: Ocean Chunk (6S 24E)'","1","progression","Area","9021"
"'Area: Ocean Chunk (6S 26E)'","1","progression","Area","9022"
"'Area: Ungael'","1","progression","Area","9023"
"'Area: Ocean Chunk (6S 30E)'","1","progression","Area","9024"
"'Area: Ocean Chunk (6S 32E)'","1","progression","Area","9025"
"'Area: Ocean Chunk (4S 34W)'","1","progression","Area","9248"
"'Area: Ocean Chunk (4S 32W)'","1","progression","Area","9249"
"'Area: Ocean Chunk (4S 30W)'","1","progression","Area","9250"
"'Area: Rainbow\'s End'","1","progression","Area","9251"
"'Area: Ocean Chunk (4S 26W)'","1","progression","Area","9252"
"'Area: Ocean Chunk (4S 24W)'","1","progression","Area","9253"
"'Area: Ocean Chunk (4S 22W)'","1","progression","Area","9254"
"'Area: Ocean Chunk (4S 20W)'","1","progression","Area","9255"
"'Area: Ocean Chunk (4S 18W)'","1","progression","Area","9256"
"'Area: Ocean Chunk (4S 16W)'","1","progression","Area","9257"
"'Area: Ocean Chunk (4S 14W)'","1","progression","Area","9258"
"'Area: Tear of the Soul'","1","progression","Area","9259"
"'Area: Southeast Soul Isle'","1","progression","Area","9260"
"'Area: Soul Isle Dungeon'","1","progression","Area","9261"
"'Area: Northeast Soul Isle'","1","progression","Area","9262"
"'Area: Dougne Delta'","1","progression","Area","9263"
"'Area: Dougne River'","1","progression","Area","9264"
"'Area: Lletya'","1","progression","Area","9265"
"'Area: South Arandar'","1","progression","Area","9266"
"'Area: Arandar'","1","progression","Area","9267"
"'Area: Southwest Stronghold Passage'","1","progression","Area","9268"
"'Area: West Stronghold Passage'","1","progression","Area","9269"
"'Area: Eagles\' Peak'","1","progression","Area","9270"
"'Area: Piscatoris Woodland'","1","progression","Area","9271"
"'Area: Piscatoris Mine'","1","progression","Area","9272"
"'Area: Fishing Colony'","1","progression","Area","9273"
"'Area: Neitiznot Dock'","1","progression","Area","9274"
"'Area: Neitiznot'","1","progression","Area","9275"
"'Area: West Ice Trolls'","1","progression","Area","9276"
"'Area: Ocean Chunk (4S 24E)'","1","progression","Area","9277"
"'Area: Ocean Chunk (4S 26E)'","1","progression","Area","9278"
"'Area: Ocean Chunk (4S 28E)'","1","progression","Area","9279"
"'Area: Ocean Chunk (4S 30E)'","1","progression","Area","9280"
"'Area: Ocean Chunk (4S 32E)'","1","progression","Area","9281"
"'Area: Ocean Chunk (2S 34W)'","1","progression","Area","9504"
"'Area: Ocean Chunk (2S 32W)'","1","progression","Area","9505"
"'Area: Ocean Chunk (2S 30W)'","1","progression","Area","9506"
"'Area: Ocean Chunk (2S 28W)'","1","progression","Area","9507"
"'Area: Ocean Chunk (2S 26W)'","1","progression","Area","9508"
"'Area: Ocean Chunk (2S 24W)'","1","progression","Area","9509"
"'Area: Ocean Chunk (2S 22W)'","1","progression","Area","9510"
"'Area: Ocean Chunk (2S 20W)'","1","progression","Area","9511"
"'Area: Ocean Chunk (2S 18W)'","1","progression","Area","9512"
"'Area: Ocean Chunk (2S 16W)'","1","progression","Area","9513"
"'Area: Ocean Chunk (2S 14W)'","1","progression","Area","9514"
"'Area: Ocean Chunk (2S 12W)'","1","progression","Area","9515"
"'Area: Ocean Chunk (2S 10W)'","1","progression","Area","9516"
"'Area: Ocean Chunk (2S 8W)'","1","progression","Area","9517"
"'Area: Ocean Chunk (2S 6W)'","1","progression","Area","9518"
"'Area: Jiggig Swamp'","1","progression","Area","9519"
"'Area: Castle Wars'","1","progression","Area","9520"
"'Area: Observatory Trees'","1","progression","Area","9521"
"'Area: Arandar Mountain'","1","progression","Area","9523"
"'Area: Arandar Gate'","1","progression","Area","9524"
"'Area: Brimstail\'s Cave Entrance'","1","progression","Area","9525"
"'Area: Gnome Ball Field'","1","progression","Area","9526"
"'Area: River Delta'","1","progression","Area","9527"
"'Area: Falconry Area'","1","progression","Area","9528"
"'Area: Ocean Chunk (2S 16E)'","1","progression","Area","9529"
"'Area: Ocean Chunk (2S 18E)'","1","progression","Area","9530"
"'Area: Jatizso'","1","progression","Area","9531"
"'Area: East Ice Trolls'","1","progression","Area","9532"
"'Area: Ocean Chunk (2S 24E)'","1","progression","Area","9533"
"'Area: Ocean Chunk (2S 26E)'","1","progression","Area","9534"
"'Area: Ocean Chunk (2S 28E)'","1","progression","Area","9535"
"'Area: Ocean Chunk (2S 30E)'","1","progression","Area","9536"
"'Area: Ocean Chunk (2S 32E)'","1","progression","Area","9537"
"'Area: Ocean Chunk (0N 34W)'","1","progression","Area","9760"
"'Area: Ocean Chunk (0N 32W)'","1","progression","Area","9761"
"'Area: Ocean Chunk (0N 30W)'","1","progression","Area","9762"
"'Area: Ocean Chunk (0N 28W)'","1","progression","Area","9763"
"'Area: Ocean Chunk (0N 26W)'","1","progression","Area","9764"
"'Area: Ocean Chunk (0N 24W)'","1","progression","Area","9765"
"'Area: Ocean Chunk (0N 22W)'","1","progression","Area","9766"
"'Area: Ocean Chunk (0N 20W)'","1","progression","Area","9767"
"'Area: Ocean Chunk (0N 18W)'","1","progression","Area","9768"
"'Area: Ocean Chunk (0N 16W)'","1","progression","Area","9769"
"'Area: Anglers\' Retreat'","1","progression","Area","9770"
"'Area: Ocean Chunk (0N 12W)'","1","progression","Area","9771"
"'Area: Myths\' Guild'","1","progression","Area","9772"
"'Area: Corsair Resource Area'","1","progression","Area","9773"
"'Area: West Feldip Coast'","1","progression","Area","9774"
"'Area: Jiggig'","1","progression","Area","9775"
"'Area: Castle Wars Lobby'","1","progression","Area","9776"
"'Area: Observatory'","1","progression","Area","9777"
"'Area: Ourania Altar'","1","progression","Area","9778"
"'Area: Underground Pass Entrance'","1","progression","Area","9779"
"'Area: Jorral\'s Outpost'","1","progression","Area","9780"
"'Area: Tree Gnome Stronghold'","1","progression","Area","9781"
"'Area: Grand Tree'","1","progression","Area","9782"
"'Area: Crash Site Cavern'","1","progression","Area","9783"
"'Area: Ocean Chunk (0N 14E)'","1","progression","Area","9784"
"'Area: Ocean Chunk (0N 16E)'","1","progression","Area","9785"
"'Area: Ocean Chunk (0N 18E)'","1","progression","Area","9786"
"'Area: Ocean Chunk (0N 20E)'","1","progression","Area","9787"
"'Area: Ocean Chunk (0N 22E)'","1","progression","Area","9788"
"'Area: Ocean Chunk (0N 24E)'","1","progression","Area","9789"
"'Area: Island of Stone'","1","progression","Area","9790"
"'Area: Ocean Chunk (0N 28E)'","1","progression","Area","9791"
"'Area: Ocean Chunk (0N 30E)'","1","progression","Area","9792"
"'Area: Ocean Chunk (0N 32E)'","1","progression","Area","9793"
"'Area: Ocean Chunk (2N 34W)'","1","progression","Area","10016"
"'Area: Ocean Chunk (2N 32W)'","1","progression","Area","10017"
"'Area: Ocean Chunk (2N 30W)'","1","progression","Area","10018"
"'Area: Ocean Chunk (2N 28W)'","1","progression","Area","10019"
"'Area: Ocean Chunk (2N 26W)'","1","progression","Area","10020"
"'Area: Ocean Chunk (2N 24W)'","1","progression","Area","10021"
"'Area: Ocean Chunk (2N 22W)'","1","progression","Area","10022"
"'Area: Isle of Bones'","1","progression","Area","10023"
"'Area: Ocean Chunk (2N 18W)'","1","progression","Area","10024"
"'Area: Ocean Chunk (2N 16W)'","1","progression","Area","10025"
"'Area: Ocean Chunk (2N 14W)'","1","progression","Area","10026"
"'Area: Ocean Chunk (2N 12W)'","1","progression","Area","10027"
"'Area: Corsair South Shore'","1","progression","Area","10028"
"'Area: Feldip Hunter Area'","1","progression","Area","10029"
"'Area: West Feldip Hills'","1","progression","Area","10030"
"'Area: Gu\'Tanoth'","1","progression","Area","10031"
"'Area: West Yanille'","1","progression","Area","10032"
"'Area: Tree Gnome Village'","1","progression","Area","10033"
"'Area: Khazard Battlefield'","1","progression","Area","10034"
"'Area: West Ardougne'","1","progression","Area","10035"
"'Area: Combat Training Camp'","1","progression","Area","10036"
"'Area: Glarial\'s Tomb'","1","progression","Area","10037"
"'Area: Baxtorian Falls'","1","progression","Area","10038"
"'Area: Barbarian Outpost'","1","progression","Area","10039"
"'Area: Lighthouse'","1","progression","Area","10040"
"'Area: Ocean Chunk (2N 16E)'","1","progression","Area","10041"
"'Area: Waterbirth Island'","1","progression","Area","10042"
"'Area: Southern Miscellania Tip'","1","progression","Area","10043"
"'Area: Miscellania'","1","progression","Area","10044"
"'Area: Ocean Chunk (2N 24E)'","1","progression","Area","10045"
"'Area: Ocean Chunk (2N 26E)'","1","progression","Area","10046"
"'Area: Ocean Chunk (2N 28E)'","1","progression","Area","10047"
"'Area: Ocean Chunk (2N 30E)'","1","progression","Area","10048"
"'Area: Ocean Chunk (2N 32E)'","1","progression","Area","10049"
"'Area: Ocean Chunk (4N 34W)'","1","progression","Area","10272"
"'Area: Ocean Chunk (4N 32W)'","1","progression","Area","10273"
"'Area: Ocean Chunk (4N 30W)'","1","progression","Area","10274"
"'Area: Ocean Chunk (4N 28W)'","1","progression","Area","10275"
"'Area: Ocean Chunk (4N 26W)'","1","progression","Area","10276"
"'Area: Ocean Chunk (4N 24W)'","1","progression","Area","10277"
"'Area: Ocean Chunk (4N 22W)'","1","progression","Area","10278"
"'Area: Ocean Chunk (4N 20W)'","1","progression","Area","10279"
"'Area: Ocean Chunk (4N 18W)'","1","progression","Area","10280"
"'Area: Ocean Chunk (4N 16W)'","1","progression","Area","10281"
"'Area: Ocean Chunk (4N 14W)'","1","progression","Area","10282"
"'Area: Ocean Chunk (4N 12W)'","1","progression","Area","10283"
"'Area: Corsair Cove'","1","progression","Area","10284"
"'Area: East Feldip Shore'","1","progression","Area","10285"
"'Area: East Feldip Hills'","1","progression","Area","10286"
"'Area: Gu\'Tanoth Island'","1","progression","Area","10287"
"'Area: East Yanille'","1","progression","Area","10288"
"'Area: Fight Arena'","1","progression","Area","10289"
"'Area: Ardougne Monastery'","1","progression","Area","10290"
"'Area: Ardougne Castle'","1","progression","Area","10291"
"'Area: Chaos Druid Tower'","1","progression","Area","10292"
"'Area: Fishing Guild'","1","progression","Area","10293"
"'Area: Coal Truck Mine'","1","progression","Area","10294"
"'Area: Lighthouse Bridge'","1","progression","Area","10296"
"'Area: West Rellekka'","1","progression","Area","10297"
"'Area: Ocean Chunk (4N 18E)'","1","progression","Area","10298"
"'Area: Ocean Chunk (4N 20E)'","1","progression","Area","10299"
"'Area: Etceteria'","1","progression","Area","10300"
"'Area: Ocean Chunk (4N 24E)'","1","progression","Area","10301"
"'Area: Ocean Chunk (4N 26E)'","1","progression","Area","10302"
"'Area: Ocean Chunk (4N 28E)'","1","progression","Area","10303"
"'Area: Ocean Chunk (4N 30E)'","1","progression","Area","10304"
"'Area: Ocean Chunk (4N 32E)'","1","progression","Area","10305"
"'Area: Ocean Chunk (6N 34W)'","1","progression","Area","10528"
"'Area: Ocean Chunk (6N 32W)'","1","progression","Area","10529"
"'Area: Ocean Chunk (6N 30W)'","1","progression","Area","10530"
"'Area: Ocean Chunk (6N 28W)'","1","progression","Area","10531"
"'Area: Ocean Chunk (6N 26W)'","1","progression","Area","10532"
"'Area: Charred Island'","1","progression","Area","10533"
"'Area: Ocean Chunk (6N 22W)'","1","progression","Area","10534"
"'Area: Ocean Chunk (6N 20W)'","1","progression","Area","10535"
"'Area: Pest Control'","1","progression","Area","10536"
"'Area: Void Knights\' Outpost'","1","progression","Area","10537"
"'Area: Ocean Chunk (6N 14W)'","1","progression","Area","10538"
"'Area: Ocean Chunk (6N 12W)'","1","progression","Area","10539"
"'Area: Ocean Chunk (6N 10W)'","1","progression","Area","10540"
"'Area: Ocean Chunk (6N 8W)'","1","progression","Area","10541"
"'Area: Rantz\' Cave'","1","progression","Area","10542"
"'Area: North Rantz Penninsula'","1","progression","Area","10543"
"'Area: Hazelmere\'s Island'","1","progression","Area","10544"
"'Area: Port Khazard'","1","progression","Area","10545"
"'Area: Tower of Life'","1","progression","Area","10546"
"'Area: Ardougne Market'","1","progression","Area","10547"
"'Area: Ardougne Farm'","1","progression","Area","10548"
"'Area: Hemenster'","1","progression","Area","10549"
"'Area: McGrubor\'s Wood'","1","progression","Area","10550"
"'Area: Fremennik Road'","1","progression","Area","10551"
"'Area: Fremennik Province'","1","progression","Area","10552"
"'Area: Rellekka'","1","progression","Area","10553"
"'Area: Rellekka Rocks'","1","progression","Area","10554"
"'Area: Ocean Chunk (6N 20E)'","1","progression","Area","10555"
"'Area: Eastern Etceteria Tip'","1","progression","Area","10556"
"'Area: Ocean Chunk (6N 24E)'","1","progression","Area","10557"
"'Area: South Iceberg'","1","progression","Area","10558"
"'Area: North Iceberg'","1","progression","Area","10559"
"'Area: Ocean Chunk (6N 30E)'","1","progression","Area","10560"
"'Area: Ocean Chunk (6N 32E)'","1","progression","Area","10561"
"'Area: Ocean Chunk (8N 34W)'","1","progression","Area","10784"
"'Area: Ocean Chunk (8N 32W)'","1","progression","Area","10785"
"'Area: Ocean Chunk (8N 30W)'","1","progression","Area","10786"
"'Area: Ocean Chunk (8N 28W)'","1","progression","Area","10787"
"'Area: Ocean Chunk (8N 26W)'","1","progression","Area","10788"
"'Area: Ocean Chunk (8N 24W)'","1","progression","Area","10789"
"'Area: Ocean Chunk (8N 22W)'","1","progression","Area","10790"
"'Area: Ocean Chunk (8N 20W)'","1","progression","Area","10791"
"'Area: Ocean Chunk (8N 18W)'","1","progression","Area","10792"
"'Area: Ocean Chunk (8N 16W)'","1","progression","Area","10793"
"'Area: West Ape Atoll'","1","progression","Area","10794"
"'Area: Marim Entrance'","1","progression","Area","10795"
"'Area: Ocean Chunk (8N 10W)'","1","progression","Area","10796"
"'Area: Ocean Chunk (8N 8W)'","1","progression","Area","10797"
"'Area: Cairn Isle Gangplank'","1","progression","Area","10798"
"'Area: Ocean Chunk (8N 4W)'","1","progression","Area","10799"
"'Area: Ocean Chunk (8N 2W)'","1","progression","Area","10800"
"'Area: Brimhaven Dungeon Entrance'","1","progression","Area","10801"
"'Area: Horseshoe Mine'","1","progression","Area","10802"
"'Area: Witchaven'","1","progression","Area","10803"
"'Area: Legends\' Guild'","1","progression","Area","10804"
"'Area: Sorcerer\'s Tower'","1","progression","Area","10805"
"'Area: Seers\' Village'","1","progression","Area","10806"
"'Area: Sinclair Mansion'","1","progression","Area","10807"
"'Area: Fremennik Forest'","1","progression","Area","10808"
"'Area: Fremennik Mine'","1","progression","Area","10809"
"'Area: Rellekka Peninsula'","1","progression","Area","10810"
"'Area: Rellekka Hunter Area'","1","progression","Area","10811"
"'Area: Ocean Chunk (8N 22E)'","1","progression","Area","10812"
"'Area: Ocean Chunk (8N 24E)'","1","progression","Area","10813"
"'Area: Ocean Chunk (8N 26E)'","1","progression","Area","10814"
"'Area: Ocean Chunk (8N 28E)'","1","progression","Area","10815"
"'Area: Ocean Chunk (8N 30E)'","1","progression","Area","10816"
"'Area: Ocean Chunk (8N 32E)'","1","progression","Area","10817"
"'Area: Ocean Chunk (10N 34W)'","1","progression","Area","11040"
"'Area: Ocean Chunk (10N 32W)'","1","progression","Area","11041"
"'Area: Ocean Chunk (10N 30W)'","1","progression","Area","11042"
"'Area: Ocean Chunk (10N 28W)'","1","progression","Area","11043"
"'Area: Ocean Chunk (10N 26W)'","1","progression","Area","11044"
"'Area: Ocean Chunk (10N 24W)'","1","progression","Area","11045"
"'Area: Ocean Chunk (10N 22W)'","1","progression","Area","11046"
"'Area: Red Rock'","1","progression","Area","11047"
"'Area: Ocean Chunk (10N 18W)'","1","progression","Area","11048"
"'Area: Ocean Chunk (10N 16W)'","1","progression","Area","11049"
"'Area: East Ape Atoll'","1","progression","Area","11050"
"'Area: Marim'","1","progression","Area","11051"
"'Area: Ocean Chunk (10N 10W)'","1","progression","Area","11052"
"'Area: West Kharazi Jungle'","1","progression","Area","11053"
"'Area: Cairn Isle'","1","progression","Area","11054"
"'Area: South Tai Bwo Wannai'","1","progression","Area","11055"
"'Area: North Tai Bwo Wannai'","1","progression","Area","11056"
"'Area: Brimhaven'","1","progression","Area","11057"
"'Area: North Brimhaven'","1","progression","Area","11058"
"'Area: Fishing Platform'","1","progression","Area","11059"
"'Area: West Entrana'","1","progression","Area","11060"
"'Area: West Catherby'","1","progression","Area","11061"
"'Area: Camelot'","1","progression","Area","11062"
"'Area: Sinclair Lake'","1","progression","Area","11063"
"'Area: Golden Apple Tree'","1","progression","Area","11064"
"'Area: Mountain Camp'","1","progression","Area","11065"
"'Area: Mountain Slope South'","1","progression","Area","11066"
"'Area: Mountain Slope North'","1","progression","Area","11067"
"'Area: Trollweiss Mountain'","1","progression","Area","11068"
"'Area: Ocean Chunk (10N 24E)'","1","progression","Area","11069"
"'Area: Ocean Chunk (10N 26E)'","1","progression","Area","11070"
"'Area: Ocean Chunk (10N 28E)'","1","progression","Area","11071"
"'Area: Ocean Chunk (10N 30E)'","1","progression","Area","11072"
"'Area: Ocean Chunk (10N 32E)'","1","progression","Area","11073"
"'Area: Ocean Chunk (12N 34W)'","1","progression","Area","11296"
"'Area: Ocean Chunk (12N 32W)'","1","progression","Area","11297"
"'Area: Ocean Chunk (12N 30W)'","1","progression","Area","11298"
"'Area: Ocean Chunk (12N 28W)'","1","progression","Area","11299"
"'Area: Last Light'","1","progression","Area","11300"
"'Area: Ocean Chunk (12N 24W)'","1","progression","Area","11301"
"'Area: Ocean Chunk (12N 22W)'","1","progression","Area","11302"
"'Area: Ocean Chunk (12N 20W)'","1","progression","Area","11303"
"'Area: Ocean Chunk (12N 18W)'","1","progression","Area","11304"
"'Area: Ocean Chunk (12N 16W)'","1","progression","Area","11305"
"'Area: Ocean Chunk (12N 14W)'","1","progression","Area","11306"
"'Area: Ocean Chunk (12N 12W)'","1","progression","Area","11307"
"'Area: Ocean Chunk (12N 10W)'","1","progression","Area","11308"
"'Area: Central Kharazi Jungle'","1","progression","Area","11309"
"'Area: Shilo Village'","1","progression","Area","11310"
"'Area: Karamja Jungle Mine'","1","progression","Area","11311"
"'Area: Jogre Coast'","1","progression","Area","11312"
"'Area: Karamja Volcano'","1","progression","Area","11313"
"'Area: South Crandor'","1","progression","Area","11314"
"'Area: North Crandor'","1","progression","Area","11315"
"'Area: Entrana'","1","progression","Area","11316"
"'Area: East Catherby'","1","progression","Area","11317"
"'Area: White Wolf Mountain'","1","progression","Area","11318"
"'Area: Warriors\' Guild'","1","progression","Area","11319"
"'Area: Death Plateau'","1","progression","Area","11320"
"'Area: Troll Stronghold'","1","progression","Area","11321"
"'Area: Ice Gate'","1","progression","Area","11322"
"'Area: Ice Path'","1","progression","Area","11323"
"'Area: Zemouregal\'s Fortress'","1","progression","Area","11324"
"'Area: Weiss'","1","progression","Area","11325"
"'Area: North Weiss Shore'","1","progression","Area","11326"
"'Area: Ocean Chunk (12N 28E)'","1","progression","Area","11327"
"'Area: Ocean Chunk (12N 30E)'","1","progression","Area","11328"
"'Area: Ocean Chunk (12N 32E)'","1","progression","Area","11329"
"'Area: Ocean Chunk (14N 34W)'","1","progression","Area","11552"
"'Area: Ocean Chunk (14N 32W)'","1","progression","Area","11553"
"'Area: Ocean Chunk (14N 30W)'","1","progression","Area","11554"
"'Area: Ocean Chunk (14N 28W)'","1","progression","Area","11555"
"'Area: Ocean Chunk (14N 26W)'","1","progression","Area","11556"
"'Area: Ocean Chunk (14N 24W)'","1","progression","Area","11557"
"'Area: Ocean Chunk (14N 22W)'","1","progression","Area","11558"
"'Area: Ocean Chunk (14N 20W)'","1","progression","Area","11559"
"'Area: Ocean Chunk (14N 18W)'","1","progression","Area","11560"
"'Area: Ocean Chunk (14N 16W)'","1","progression","Area","11561"
"'Area: Crash Island'","1","progression","Area","11562"
"'Area: Ocean Chunk (14N 12W)'","1","progression","Area","11563"
"'Area: Rock Island Prison'","1","progression","Area","11564"
"'Area: East Kharazi Jungle'","1","progression","Area","11565"
"'Area: Ah Za Rhoon'","1","progression","Area","11566"
"'Area: Karamja River'","1","progression","Area","11567"
"'Area: Karambwan Shore'","1","progression","Area","11568"
"'Area: Musa Point'","1","progression","Area","11569"
"'Area: Melzar\'s Maze'","1","progression","Area","11570"
"'Area: Crafting Guild'","1","progression","Area","11571"
"'Area: Falador West Wall'","1","progression","Area","11572"
"'Area: South Taverley'","1","progression","Area","11573"
"'Area: North Taverley'","1","progression","Area","11574"
"'Area: Burthorpe'","1","progression","Area","11575"
"'Area: Troll Arena'","1","progression","Area","11576"
"'Area: Trollheim'","1","progression","Area","11577"
"'Area: God Wars Dungeon'","1","progression","Area","11578"
"'Area: Lucien\'s Camp'","1","progression","Area","11579"
"'Area: Ghorrock Fortress'","1","progression","Area","11581"
"'Area: Ocean Chunk (14N 26E)'","1","progression","Area","11582"
"'Area: Grimstone'","1","progression","Area","11583"
"'Area: Ocean Chunk (14N 30E)'","1","progression","Area","11584"
"'Area: Ocean Chunk (14N 32E)'","1","progression","Area","11585"
"'Area: Ocean Chunk (16N 34W)'","1","progression","Area","11808"
"'Area: Ocean Chunk (16N 32W)'","1","progression","Area","11809"
"'Area: Ocean Chunk (16N 30W)'","1","progression","Area","11810"
"'Area: The Onyx Crest'","1","progression","Area","11811"
"'Area: Ocean Chunk (16N 26W)'","1","progression","Area","11812"
"'Area: Ocean Chunk (16N 24W)'","1","progression","Area","11813"
"'Area: Ocean Chunk (16N 22W)'","1","progression","Area","11814"
"'Area: Ocean Chunk (16N 20W)'","1","progression","Area","11815"
"'Area: Remote Island'","1","progression","Area","11816"
"'Area: Ocean Chunk (16N 16W)'","1","progression","Area","11817"
"'Area: Ocean Chunk (16N 14W)'","1","progression","Area","11818"
"'Area: Ocean Chunk (16N 12W)'","1","progression","Area","11819"
"'Area: Ocean Chunk (16N 10W)'","1","progression","Area","11820"
"'Area: Kharazi East Coast'","1","progression","Area","11821"
"'Area: Gandius\' Glider'","1","progression","Area","11822"
"'Area: Ship Yard'","1","progression","Area","11823"
"'Area: Mudskipper Point'","1","progression","Area","11824"
"'Area: Port Sarim Church'","1","progression","Area","11825"
"'Area: Rimmington'","1","progression","Area","11826"
"'Area: Falador South Wall'","1","progression","Area","11827"
"'Area: West Falador'","1","progression","Area","11828"
"'Area: Falador North Gate'","1","progression","Area","11829"
"'Area: Goblin Village'","1","progression","Area","11830"
"'Area: West Wildy Ditch'","1","progression","Area","11831"
"'Area: West Green Dragons'","1","progression","Area","11832"
"'Area: Dareeyak Ruins'","1","progression","Area","11833"
"'Area: Forgotten Cemetery'","1","progression","Area","11834"
"'Area: Chaos Altar'","1","progression","Area","11835"
"'Area: Western Obelisk'","1","progression","Area","11836"
"'Area: Frozen Waste Plateau'","1","progression","Area","11837"
"'Area: Ocean Chunk (16N 26E)'","1","progression","Area","11838"
"'Area: Ocean Chunk (16N 28E)'","1","progression","Area","11839"
"'Area: Ocean Chunk (16N 30E)'","1","progression","Area","11840"
"'Area: Ocean Chunk (18N 34W)'","1","progression","Area","12064"
